INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 1, 'minorAssignment1', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 2, 'minorAssignment2', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 3, 'minorAssignment3', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 4, 'minorAssignment4', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 5, 'minorAssignment5', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 6, 'minorAssignment6', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 7, 'minorAssignment7', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 8, 'minorAssignment8', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 9, 'minorAssignment9', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 10, 'minorAssignment10', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 11, 'minorAssignment11', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 12, 'minorAssignment12', 2, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 13, 'majorAssignment1', 1, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 14, 'majorAssignment2', 1, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 15, 'majorAssignment3', 1, 1);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 16, 'minorAssignment1', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 17, 'minorAssignment2', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 18, 'minorAssignment3', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 19, 'minorAssignment4', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 20, 'minorAssignment5', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 21, 'minorAssignment6', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 22, 'minorAssignment7', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 23, 'minorAssignment8', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 24, 'minorAssignment9', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 25, 'minorAssignment10', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 26, 'minorAssignment11', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 27, 'minorAssignment12', 2, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 28, 'majorAssignment1', 1, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 29, 'majorAssignment2', 1, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 30, 'majorAssignment3', 1, 1180);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 31, 'minorAssignment1', 2, 4541);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 32, 'minorAssignment2', 2, 4541);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 33, 'minorAssignment3', 2, 4541);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 34, 'minorAssignment4', 2, 4541);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 35, 'minorAssignment5', 2, 4541);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 36, 'minorAssignment6', 2, 4541);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 37, 'minorAssignment7', 2, 4541);
INSERT INTO Assignments (assignment_id, name, weight_id, offering_id) VALUES ( 38, 'minorAssignment8', 2, 4541);
