INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 1, 1, 34, 392, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 1180, 1, 19, 677, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 4541, 1, 233, 565, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 6348, 2, 217, 607, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 7249, 2, 189, 287, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 12230, 2, 274, 480, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 12309, 3, 297, 298, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 13808, 3, 191, 265, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 14241, 4, 5, 535, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 16366, 4, 124, 634, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 22567, 5, 245, 396, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 23294, 5, 102, 714, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 27279, 5, 120, 674, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 27358, 5, 51, 521, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 29585, 5, 129, 464, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 30636, 6, 221, 47, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 31277, 6, 135, 247, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 35698, 7, 183, 46, 10 );
